Unnamed: 0,MSSubClass,MSZoning,LotFrontage,LotArea,Street,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,MiscVal,MoSold,YrSold,SaleType,SaleCondition
57,9,3,89,11645,1,0,3,0,0,0,5,2,2,0,5,7,5,2004,2004,1,1,12,13,2,0,2,4,2,2,4,3,6,0,6,0,860,860,1,0,1,5,860,860,0,1720,0,0,2,1,3,1,2,7,6,0,1,2004.0,2,2,565,5,5,2,0,70,0,0,0,0,0,1,2006,8,4
1370,8,3,90,5400,1,3,3,0,0,0,17,0,2,0,0,4,6,1920,1950,1,1,4,4,2,0,1,4,2,4,4,3,0,315,5,105,420,840,1,0,1,5,840,534,0,1374,0,0,1,0,2,1,3,6,6,0,5,1967.0,0,1,338,5,5,2,0,0,198,0,0,0,0,10,2009,8,4
1201,9,3,80,10400,1,3,3,0,0,0,5,2,2,0,5,7,5,1998,1998,1,1,12,13,2,0,3,4,2,2,4,0,6,0,6,0,866,866,1,0,1,5,866,913,0,1779,0,0,2,1,3,1,2,6,6,0,1,1998.0,2,2,546,5,5,2,198,36,0,0,0,0,0,7,2009,8,4
339,4,3,66,12400,1,0,3,0,4,0,12,1,2,0,2,6,7,1958,1998,3,1,13,14,1,176,3,4,1,4,0,3,5,585,6,0,630,1215,1,4,1,0,1215,0,0,1215,0,0,1,0,3,1,3,6,6,0,1,1958.0,3,1,297,5,5,2,0,0,0,0,234,0,0,6,2009,8,4
1271,4,3,0,9156,1,0,3,0,4,0,14,4,2,0,2,6,7,1968,1968,3,1,3,3,2,0,3,4,1,4,4,3,6,0,6,0,1489,1489,1,2,1,5,1489,0,0,1489,0,0,2,0,3,1,2,7,6,1,1,1968.0,2,2,462,5,5,2,0,0,0,0,0,0,0,1,2009,8,4
183,8,4,63,11426,1,3,3,0,4,0,17,2,2,0,0,7,5,2003,2003,1,1,12,13,2,0,3,4,2,2,4,3,6,0,6,0,1362,1362,1,0,1,5,1362,720,0,2082,0,0,2,1,3,1,2,6,4,0,5,2003.0,3,2,484,5,5,0,280,238,0,0,0,0,0,6,2008,8,4
320,9,3,111,16259,1,3,3,0,0,0,16,2,2,0,5,9,5,2006,2006,1,1,12,13,3,370,3,4,2,0,1,0,6,0,6,0,1249,1249,1,0,1,5,1249,1347,0,2596,0,0,3,1,4,1,2,9,6,0,1,2006.0,2,3,840,5,5,2,240,154,0,0,0,0,0,11,2006,6,5
1073,9,3,75,7950,1,0,0,0,0,0,7,2,2,0,5,6,6,1977,1977,3,1,6,10,1,140,3,4,1,4,4,3,1,535,6,0,155,690,1,4,1,5,698,728,0,1426,0,0,1,1,3,1,3,6,6,0,1,1977.0,0,2,440,5,5,2,252,0,0,0,0,0,0,5,2009,8,4
332,4,3,85,10655,1,0,3,0,4,0,16,2,2,0,2,8,5,2003,2004,1,1,12,13,1,296,2,4,2,2,4,3,2,1124,4,479,1603,3206,1,0,1,5,1629,0,0,1629,1,0,2,0,3,1,2,7,6,1,1,2003.0,2,3,880,5,5,2,0,0,0,0,0,0,0,10,2009,8,4
237,9,3,0,9453,1,0,3,0,1,0,20,7,2,0,5,7,7,1993,2003,1,1,6,6,2,0,2,4,2,2,4,3,1,402,6,0,594,996,1,0,1,5,1014,730,0,1744,0,0,2,1,3,1,2,7,6,0,1,1993.0,2,2,457,5,5,2,370,70,0,238,0,0,0,3,2010,8,4
916,4,0,50,9000,1,3,3,0,4,0,9,2,2,0,2,2,3,1949,1950,1,1,0,0,2,0,3,4,1,4,4,0,1,50,6,0,430,480,1,4,0,0,480,0,0,480,1,0,0,0,1,1,3,4,6,0,5,1958.0,3,1,308,5,5,2,0,0,0,0,0,0,0,10,2006,8,0
1272,4,3,0,13526,1,0,3,0,1,0,19,2,2,0,2,5,6,1965,1965,3,1,6,10,1,114,3,4,1,4,4,3,1,560,3,375,0,935,1,4,1,5,935,0,0,935,1,0,1,0,3,1,3,5,6,0,1,1965.0,3,1,288,5,5,2,180,0,0,0,0,0,0,9,2006,8,4
189,0,3,41,4923,1,3,3,0,4,0,22,2,2,4,2,8,5,2001,2002,1,1,5,5,2,0,2,4,2,0,4,0,2,1153,6,0,440,1593,1,0,1,5,1593,0,0,1593,1,0,1,1,0,1,0,5,6,1,1,2001.0,0,2,682,5,5,2,0,120,0,0,224,0,0,1,2008,8,4
1289,9,3,86,11065,1,0,3,0,4,0,16,2,2,0,5,8,5,2006,2006,1,1,12,13,3,788,2,4,2,2,4,2,6,0,6,0,1085,1085,1,0,1,5,1120,850,0,1970,0,0,2,1,3,1,0,8,6,1,3,2006.0,0,3,753,5,5,2,177,74,0,0,0,0,0,10,2006,6,5
964,9,3,80,11316,1,3,3,0,0,0,23,2,2,0,5,7,5,2002,2003,1,1,12,13,1,44,2,4,2,2,4,3,2,624,6,0,193,817,1,0,1,5,824,1070,0,1894,1,0,2,1,4,1,2,8,6,1,3,2002.0,0,2,510,5,5,2,0,40,0,0,0,0,0,3,2010,8,4
1143,4,3,0,9000,1,3,3,0,4,0,19,2,2,0,2,5,3,1959,1959,1,1,13,10,2,0,3,4,1,4,4,3,2,288,6,0,718,1006,1,4,1,5,1006,0,0,1006,0,0,1,0,3,1,3,5,6,0,6,1980.0,1,0,0,3,3,2,0,24,0,0,0,0,0,5,2008,8,4
1214,13,3,69,10205,1,0,3,0,4,0,12,2,2,0,6,5,5,1962,1962,1,1,8,8,2,0,3,4,1,4,4,0,1,784,6,0,141,925,1,4,1,5,999,0,0,999,1,0,1,0,3,1,3,6,6,0,1,1962.0,3,1,300,5,5,2,150,72,0,0,0,0,0,8,2006,8,4
867,4,3,85,6970,1,3,3,0,0,0,19,1,2,0,2,4,5,1961,1961,1,1,12,13,2,0,3,4,1,4,4,3,0,932,6,0,108,1040,1,4,1,5,1120,0,0,1120,1,0,1,1,3,1,1,5,6,0,1,1961.0,2,2,544,5,5,2,168,0,0,0,0,0,400,8,2007,8,4
1277,12,3,0,17871,1,0,3,0,1,0,14,2,2,0,7,6,5,1967,1976,1,1,6,6,1,359,3,4,1,2,4,0,0,528,6,0,1152,1680,1,1,1,5,1724,0,0,1724,1,0,1,1,3,1,3,7,6,1,1,1967.0,2,2,480,5,5,2,0,0,0,0,0,0,0,6,2009,8,4
1312,9,3,0,9572,1,0,3,0,4,0,15,2,2,0,5,8,5,1990,1990,1,1,13,14,1,336,2,4,2,0,4,3,2,482,6,0,971,1453,1,0,1,5,1453,1357,0,2810,0,0,2,1,4,1,2,9,6,1,1,1990.0,2,2,750,2,2,2,500,0,0,0,0,0,0,6,2007,8,4
813,4,3,75,9750,1,3,3,0,4,0,12,2,2,0,2,6,6,1958,1958,1,1,8,8,1,243,3,4,1,4,4,3,5,608,6,0,834,1442,1,2,1,5,1442,0,0,1442,0,0,1,1,4,1,3,7,6,0,1,1958.0,2,1,301,5,5,2,0,0,275,0,0,0,500,0,2007,0,4
715,4,3,78,10140,1,3,3,0,4,0,14,2,2,0,2,6,5,1974,1974,3,1,6,6,1,174,3,4,1,2,4,3,6,0,6,0,1064,1064,1,4,1,5,1350,0,0,1350,0,0,2,0,3,1,3,7,6,1,1,1974.0,2,2,478,5,5,2,0,0,0,0,0,0,0,1,2009,8,4
457,4,3,0,53227,1,0,2,0,1,1,4,2,2,0,2,4,6,1954,1994,0,5,9,10,2,0,3,4,1,2,4,1,1,1116,6,0,248,1364,1,0,1,5,1663,0,0,1663,1,0,1,0,2,1,2,6,2,2,1,1954.0,0,2,529,5,5,2,224,137,0,0,0,0,0,7,2008,8,4
1411,8,3,80,9600,1,3,3,0,4,0,12,2,2,0,0,6,8,1950,2005,1,1,12,13,2,0,3,2,1,4,4,3,1,120,6,0,736,856,1,0,1,5,1112,556,0,1668,0,0,1,1,3,1,3,6,3,0,1,1950.0,3,1,271,5,5,2,0,0,0,0,0,0,0,11,2009,8,4
20,9,3,101,14215,1,0,3,0,0,0,16,2,2,0,5,8,5,2005,2006,1,1,12,13,1,380,2,4,2,0,4,0,6,0,6,0,1158,1158,1,0,1,5,1158,1218,0,2376,0,0,3,1,4,1,2,9,6,1,3,2005.0,2,3,853,5,5,2,240,154,0,0,0,0,0,9,2006,6,5
1340,4,3,70,8294,1,3,3,0,4,0,12,2,2,0,2,4,5,1971,1971,1,1,8,8,2,0,3,4,1,4,4,3,6,0,6,0,858,858,1,4,1,5,872,0,0,872,0,0,1,0,3,1,3,5,6,0,5,1974.0,3,4,480,5,5,2,0,0,0,0,0,0,0,6,2007,8,4
1016,4,3,73,11883,1,3,3,0,4,0,5,2,2,0,2,7,5,1996,1996,3,1,12,13,1,196,2,4,2,2,4,1,2,690,6,0,814,1504,1,0,1,5,1504,0,0,1504,1,0,2,0,3,1,2,6,6,1,1,1996.0,0,2,478,5,5,2,115,66,0,0,0,0,0,6,2009,8,4
1333,8,4,60,7200,1,3,3,0,0,0,9,2,2,0,0,5,6,1938,1995,1,1,13,14,2,0,3,4,1,4,4,3,6,0,6,0,803,803,1,0,1,5,803,557,0,1360,0,0,1,1,2,1,2,6,6,0,5,1951.0,3,1,297,5,5,2,0,65,190,0,0,0,0,5,2006,8,4
372,0,3,50,7175,1,3,3,0,4,0,20,2,2,4,2,6,5,1984,1984,1,1,9,10,2,0,3,4,1,2,4,3,0,623,3,121,0,744,1,4,1,5,752,0,0,752,1,0,1,0,2,1,3,4,6,0,1,1984.0,3,1,264,5,5,2,353,0,0,0,90,0,0,3,2010,8,4
446,4,3,137,16492,1,0,3,0,0,0,12,3,2,0,2,6,6,1966,2002,1,1,3,10,2,0,2,4,1,4,4,3,0,247,5,713,557,1517,1,0,1,5,1888,0,0,1888,0,0,2,1,2,1,2,6,4,1,1,1966.0,0,2,578,5,5,2,0,0,0,0,0,0,0,6,2010,8,4
1074,4,3,74,8556,1,3,3,0,4,0,5,2,2,0,2,7,5,2006,2006,1,1,12,13,2,0,2,4,2,2,4,0,6,0,6,0,1240,1240,1,0,1,5,1240,0,0,1240,0,0,2,0,2,1,2,5,6,0,1,2006.0,2,3,826,5,5,2,140,93,0,0,0,0,0,8,2007,8,4
201,4,3,75,10125,1,3,3,0,4,0,11,2,2,0,2,6,6,1977,1977,1,1,9,10,2,0,3,4,1,4,4,3,0,641,3,279,276,1196,1,4,1,5,1279,0,0,1279,0,1,2,0,3,1,3,6,6,2,5,1980.0,3,2,473,5,5,2,238,83,0,0,0,0,0,3,2008,8,4
767,8,3,75,12508,1,0,3,0,4,0,11,2,2,0,0,6,7,1940,1985,1,1,12,13,2,0,3,4,1,2,4,2,0,660,6,0,323,983,1,0,1,5,983,767,0,1750,1,0,2,0,4,1,3,7,4,0,1,1989.0,3,1,423,5,5,2,245,0,156,0,0,0,1300,5,2008,8,4
1301,10,3,0,7500,1,0,0,0,4,0,6,2,2,0,5,6,7,1942,1950,1,1,13,14,2,0,3,4,1,4,4,3,1,547,6,0,224,771,1,1,1,5,753,741,0,1494,0,0,1,0,3,1,2,7,6,2,1,1942.0,3,1,213,5,5,1,0,0,0,0,224,0,0,9,2009,8,4
533,4,3,50,5000,1,3,2,0,4,1,3,2,2,0,2,1,3,1946,1950,1,1,12,13,2,0,1,1,3,3,2,3,4,0,4,0,0,0,1,1,0,1,334,0,0,334,0,0,1,0,1,1,1,2,6,0,6,1980.0,1,0,0,3,3,0,0,0,0,0,0,0,0,4,2007,8,4
73,4,3,85,10200,1,3,3,0,4,0,12,2,2,0,2,5,7,1954,2003,1,1,13,14,1,104,3,4,1,4,4,3,0,320,1,362,404,1086,1,2,1,5,1086,0,0,1086,1,0,1,0,3,1,3,6,6,0,1,1989.0,3,2,490,5,5,2,0,0,0,0,0,0,0,8,2010,8,4
216,4,3,65,8450,1,3,3,0,4,0,5,2,2,0,2,7,5,2004,2004,1,1,12,13,1,266,2,4,2,2,4,2,2,946,6,0,490,1436,1,0,1,5,1436,0,0,1436,1,0,2,0,3,1,2,8,6,0,1,2004.0,3,2,484,5,5,2,139,98,0,0,0,0,0,0,2008,8,4
428,4,3,64,6762,1,3,3,0,4,0,5,2,2,0,2,7,5,2007,2007,1,1,12,13,1,108,2,4,2,2,4,3,2,664,6,0,544,1208,1,0,1,5,1208,0,0,1208,1,0,2,0,2,1,2,6,6,0,1,2007.0,2,2,628,5,5,2,105,54,0,0,0,0,0,11,2007,6,5
1422,0,4,37,4435,1,3,3,0,4,0,5,2,2,4,2,6,5,2003,2003,1,1,12,13,1,170,2,4,2,2,4,0,2,686,6,0,162,848,1,0,1,5,848,0,0,848,1,0,1,0,1,1,2,3,6,0,1,2003.0,0,2,420,5,5,2,140,0,0,0,0,0,0,7,2008,8,4
686,9,1,84,10207,1,3,3,0,4,0,21,2,2,0,5,7,6,2007,2007,1,1,12,13,2,0,2,4,2,2,4,3,6,0,6,0,874,874,1,0,1,5,874,887,0,1761,0,0,3,0,3,1,2,7,6,0,1,2007.0,0,2,578,5,5,2,144,105,0,0,0,0,0,1,2007,6,5
1374,9,1,85,10625,1,3,3,0,4,0,21,2,2,0,5,7,5,2005,2005,1,1,5,5,2,0,2,4,2,2,4,3,6,0,6,0,1026,1026,1,0,1,5,1026,932,0,1958,0,0,2,1,3,1,2,9,6,1,1,2005.0,0,3,936,5,5,2,154,210,0,0,0,0,0,5,2008,8,4
866,4,3,67,10656,1,0,1,0,4,0,23,2,2,0,2,8,5,2006,2007,1,1,12,13,3,274,2,4,2,2,4,0,6,0,6,0,1638,1638,1,0,1,5,1646,0,0,1646,0,0,2,0,3,1,2,6,6,1,1,2007.0,2,3,870,5,5,2,192,80,0,0,0,0,0,9,2007,6,5
248,9,3,72,11317,1,3,3,0,4,0,5,2,2,0,5,7,5,2003,2003,1,1,12,13,1,101,2,4,2,2,4,3,6,0,6,0,840,840,1,0,1,5,840,828,0,1668,0,0,2,1,3,1,2,8,6,0,1,2003.0,2,2,500,5,5,2,144,68,0,0,0,0,0,11,2007,8,4
545,8,3,0,13837,1,0,3,0,0,0,14,2,2,0,0,7,5,1988,1988,1,1,6,6,1,178,2,2,2,2,1,3,2,1002,3,202,0,1204,1,2,1,5,1377,806,0,2183,0,0,2,1,4,1,2,9,6,0,1,1988.0,3,3,786,5,5,2,0,0,0,0,0,0,0,3,2006,8,4
1154,9,3,0,13700,1,0,3,0,4,0,12,2,2,0,5,7,6,1965,1988,1,1,12,13,3,288,3,4,1,4,4,1,0,454,6,0,410,864,1,4,1,5,902,918,0,1820,0,0,1,2,4,1,2,8,6,2,1,1965.0,3,2,492,5,5,2,60,84,0,0,273,0,0,8,2008,8,4
1174,10,3,80,16560,1,0,3,0,4,0,6,2,2,0,5,6,8,1932,1950,1,1,13,14,2,0,3,4,0,2,4,3,5,503,6,0,449,952,1,4,1,5,1170,1175,0,2345,0,0,2,1,4,1,3,9,6,1,5,1932.0,3,2,360,5,5,2,0,0,0,0,0,0,0,5,2006,8,4
1405,0,4,44,3842,1,0,1,0,4,1,6,2,2,4,2,8,5,2004,2005,3,1,5,5,3,174,2,4,2,0,4,1,2,1373,6,0,221,1594,1,0,1,5,1646,0,0,1646,1,1,2,0,2,1,2,5,6,1,1,2004.0,0,2,482,5,5,2,128,53,0,0,155,0,0,4,2008,8,4
1040,4,3,88,13125,1,3,3,0,0,0,19,2,2,0,2,5,4,1957,2000,1,1,13,14,0,67,3,4,1,4,4,3,5,168,1,682,284,1134,1,0,1,5,1803,0,0,1803,1,0,2,0,3,1,3,8,0,1,1,1957.0,2,2,484,5,5,2,0,0,0,0,0,0,0,4,2006,8,4
1398,8,3,60,7200,1,3,3,0,4,0,12,2,2,0,0,5,4,1950,1982,1,1,12,14,2,0,3,4,1,4,4,3,5,180,1,352,676,1208,1,2,1,0,1136,768,0,1904,1,0,1,1,3,1,3,7,2,0,1,1950.0,3,1,240,5,5,2,0,0,168,0,0,0,0,8,2009,8,4
1114,4,3,90,5400,1,3,3,0,4,0,17,2,2,0,2,5,7,1954,2000,1,1,8,8,2,0,3,2,1,4,4,3,5,415,6,0,418,833,1,0,1,5,833,0,0,833,0,0,1,0,2,1,2,4,6,0,5,1955.0,3,1,326,5,5,2,0,0,0,0,0,0,0,1,2006,8,4
349,9,3,56,20431,1,1,3,0,4,0,16,2,2,0,5,9,5,2005,2006,3,1,5,5,1,870,0,4,2,0,4,3,2,1410,6,0,438,1848,1,0,1,5,1848,880,0,2728,1,0,2,1,4,1,0,10,6,2,1,2006.0,0,3,706,5,5,2,0,0,0,0,0,0,0,0,2006,6,5
944,4,3,0,14375,1,0,3,1,1,0,23,2,2,0,7,6,6,1958,1958,1,1,6,6,1,541,3,4,1,4,4,3,2,111,5,354,354,819,1,2,1,0,1344,0,0,1344,0,1,1,0,3,1,2,7,6,1,2,1958.0,2,2,525,5,5,2,0,118,0,0,233,0,0,4,2009,0,0
744,0,3,41,5395,1,0,1,0,4,0,22,2,2,4,2,8,5,1993,1993,1,1,6,6,2,0,2,4,2,2,4,3,2,733,6,0,604,1337,1,2,1,5,1337,0,0,1337,1,0,2,0,2,1,2,5,6,1,1,1993.0,2,2,462,5,5,2,96,0,70,168,0,0,0,10,2008,8,4
534,9,3,74,9056,1,0,3,0,4,0,8,2,2,0,5,8,5,2004,2004,1,1,12,13,2,0,2,4,2,0,1,0,6,0,6,0,707,707,1,0,1,5,707,707,0,1414,0,0,2,1,3,1,2,6,6,1,1,2004.0,0,2,403,5,5,2,100,35,0,0,0,0,0,10,2006,8,4
556,4,3,69,14850,1,0,3,0,4,0,12,2,2,0,2,5,5,1957,1957,1,1,13,14,2,0,3,4,1,4,4,3,5,895,6,0,197,1092,1,4,1,0,1092,0,0,1092,1,0,1,0,2,1,3,6,6,1,1,1957.0,0,1,299,5,5,2,268,0,0,0,122,0,0,8,2006,8,4
1133,9,3,80,9828,1,0,3,0,4,0,20,2,2,0,5,8,5,1995,1995,1,1,12,13,2,0,2,4,2,2,4,3,2,584,6,0,544,1128,1,0,1,5,1142,878,0,2020,0,0,2,1,3,1,2,8,6,1,1,1995.0,2,2,466,5,5,2,0,155,0,0,0,0,0,6,2009,8,4
925,4,3,0,15611,1,0,3,0,0,0,14,2,2,0,2,5,6,1977,1977,1,1,12,13,2,0,3,4,2,2,4,0,0,767,3,93,266,1126,1,4,1,5,1126,0,0,1126,0,1,2,0,3,1,0,6,6,0,1,1977.0,2,2,540,5,5,2,180,0,0,0,0,0,0,7,2008,8,0
